hand0,hand1,cc0,cc1,cc2,cc3,cc4,b0,b1,b2,mean
0,1,2,3,4,9,49,0,0,990,1
0,1,2,3,4,9,50,0,0,990,1
0,1,2,3,4,9,51,0,0,990,1
0,1,2,3,4,10,11,15,0,975,0.984848
0,1,2,3,4,10,12,15,0,975,0.984848
0,1,2,3,4,10,13,0,0,990,1
0,1,2,3,4,10,14,0,0,990,1
0,1,2,3,4,10,15,0,0,990,1
0,1,2,3,4,10,16,0,0,990,1
0,1,2,3,4,10,17,0,0,990,1
0,1,2,3,4,10,18,0,0,990,1
0,1,2,3,4,10,19,0,0,990,1
0,1,2,3,4,10,20,0,0,990,1
0,1,2,3,4,10,21,0,0,990,1
0,1,2,3,4,10,22,0,0,990,1
0,1,2,3,4,10,23,0,0,990,1
0,1,2,3,4,10,24,0,0,990,1
0,1,2,3,4,10,25,0,0,990,1
0,1,2,3,4,10,26,0,0,990,1
0,1,2,3,4,10,27,0,0,990,1
0,1,2,3,4,10,28,0,0,990,1
